type,sub,assoc
type01,sub01,assoc01
type01,sub02,assoc02
type01,sub03,assoc03
type01,sub03,assoc04
type02,sub04,assoc05
type02,sub04,assoc06
type02,sub04,assoc07
type01,sub05,assoc08
type01,sub05,assoc09
type01,sub06,assoc10
type01,sub07,assoc11
type01,sub07,assoc12
type02,sub04,assoc13
type03,sub08,assoc14
type03,sub09,assoc15
type03,sub09,assoc16
type03,sub10,assoc17
type03,sub10,assoc18
type02,sub12,assoc20
type02,sub13,assoc21
type02,sub13,assoc22
type02,sub13,assoc23
type02,sub13,assoc24
type02,sub13,assoc25
type02,sub13,assoc26
type02,sub04,assoc27
type02,sub04,assoc28
type02,sub04,assoc29
type02,sub04,assoc30
type02,sub12,assoc31
type02,sub14,assoc32
type02,sub04,assoc33
type02,sub04,assoc34
type02,sub04,assoc35
type02,sub12,assoc36
type02,sub12,assoc37
type02,sub04,assoc38
type05,sub15,assoc39
type02,sub16,assoc41
type05,sub17,assoc42
type05,sub15,assoc43
type05,sub15,assoc44
type06,sub18,assoc45
type06,sub18,assoc46
type06,sub18,assoc47
type06,sub18,assoc48
type06,sub19,assoc49
type07,sub20,assoc50
type08,sub21,assoc51
type08,sub21,assoc52
